code,specimen,chimney,apba,ectcho,aero2,iso3,aero1,aply1,AlkCont,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,gel
AaF4,1,1,A,E,6.630,13.437,15.323,2.722,38.112,0.0,0.0,0.0,0.0,53.6,0.0,12.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,12.7,0.0,1
AaF5,1,1,A,C,10.506,18.801,9.457,4.343,43.107,0.0,0.0,0.0,5.6,0.0,26.4,18.8,0.0,16.1,8.7,4.6,0.0,0.0,0.0,0.0,7.7,7.3,0.0,0.0,0.0,0.9,0.0,3.8,0.0,1
AaF6,1,1,B,E,3.941,7.697,9.022,1.165,21.825,0.0,4.7,0.0,0.0,45.6,0.0,7.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,2.8,3.2,1.5,0.0,0.0,0.0,1.7,0.0,15.1,0.0,1
AaF7,1,1,B,C,15.018,27.146,8.878,7.062,58.103,0.0,0.0,0.0,7.1,0.0,21.0,16.7,0.0,16.0,8.0,5.9,0.0,0.0,7.1,0.0,6.9,7.3,0.0,0.0,0.0,1.9,0.0,2.1,0.0,1
AaF8,1,2,A,E,2.313,5.658,18.241,1.208,27.419,0.0,1.2,0.0,10.6,28.5,0.0,12.1,0.0,11.7,7.2,5.1,6.0,0.0,6.4,0.0,4.7,4.7,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1
AaF9,1,2,A,C,4.513,10.437,3.469,2.113,20.532,0.0,0.0,0.0,7.7,0.0,20.2,14.1,0.0,14.5,6.5,6.2,6.5,0.0,6.8,0.0,8.0,7.3,0.0,0.0,0.0,0.0,0.0,2.3,0.0,1
AaF10,1,2,B,E,6.775,12.639,15.272,2.359,37.046,0.0,0.7,0.0,5.5,31.4,0.0,12.8,0.0,12.9,6.7,5.5,7.1,0.0,6.2,0.0,5.0,2.5,0.0,0.0,0.0,1.3,0.0,2.3,0.0,1
AaF11,1,2,B,C,10.564,23.473,7.767,6.735,48.539,0.0,0.0,0.0,9.0,0.0,22.1,14.3,0.0,14.9,7.4,6.8,7.4,0.0,7.5,0.0,5.3,3.0,0.0,0.0,0.0,0.9,0.0,1.3,0.0,1
AaF12,2,1,A,E,6.866,12.452,19.679,4.122,43.118,0.0,5.2,0.0,9.6,29.6,0.0,13.8,0.0,13.5,6.3,0.0,0.0,0.0,7.5,0.0,6.5,3.3,0.0,1.3,0.0,1.1,0.0,2.4,0.0,1
AaF13,2,1,A,C,10.516,18.070,4.427,4.911,37.924,0.0,0.0,0.0,6.5,0.0,19.4,20.2,0.0,11.1,7.2,0.0,3.4,0.0,8.0,0.0,9.2,9.5,0.0,0.8,0.0,2.1,0.0,2.7,0.0,1
AaF14,2,1,B,E,12.339,18.343,29.489,5.205,65.376,0.0,1.2,0.0,0.0,31.5,0.0,10.2,10.6,10.7,7.2,0.0,0.0,0.0,7.9,0.0,6.2,7.3,0.0,0.0,0.0,2.5,0.0,4.8,0.0,1
AaF15,2,1,B,C,20.218,25.409,6.939,7.265,59.831,0.0,0.0,0.0,0.0,0.0,23.0,33.1,0.0,20.1,5.8,0.0,0.0,0.0,6.8,0.0,1.5,3.2,0.0,1.6,0.0,2.3,0.0,2.6,0.0,1
AaF16,2,2,A,E,6.245,9.724,20.687,3.050,39.706,0.0,0.0,0.0,0.0,52.0,0.0,11.2,0.0,13.8,3.5,0.0,0.0,0.0,2.4,0.0,1.4,5.6,0.0,0.0,0.0,1.0,0.0,9.2,0.0,1
AaF17,2,2,A,C,6.582,14.659,5.800,5.550,32.592,0.0,0.0,0.0,0.0,0.0,23.4,25.6,0.0,14.5,7.4,0.0,0.0,0.0,5.9,0.0,2.3,11.3,0.0,1.3,0.0,4.2,0.0,4.2,0.0,1
AaF18,2,2,B,E,11.095,16.948,18.386,6.032,52.460,0.0,10.1,0.0,0.0,19.5,0.0,0.0,32.9,17.5,5.4,0.0,0.0,0.0,5.5,0.4,1.6,1.9,0.0,0.6,0.0,0.0,0.0,4.6,0.0,1
AaF19,2,2,B,C,12.074,24.433,6.192,9.908,52.607,0.0,0.0,0.0,0.0,0.0,19.5,26.0,0.0,17.1,7.5,0.0,0.0,0.0,3.0,0.0,4.7,5.0,0.0,1.2,0.0,6.1,0.0,9.7,0.0,1
AaF20,3,1,A,E,4.709,9.240,2.661,2.203,18.813,10.6,8.1,0.0,0.0,60.6,0.0,8.2,0.0,8.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2
AaF21,3,1,A,C,6.181,12.175,3.881,4.156,26.394,0.0,0.0,0.0,0.0,0.0,20.6,17.4,0.0,9.1,13.5,0.0,4.7,4.5,4.8,0.0,3.0,0.0,5.0,1.8,0.0,0.0,0.0,1.1,14.4,2
AaF22,3,1,B,E,6.569,10.662,3.314,2.680,23.226,0.0,4.7,0.0,0.0,68.6,0.0,6.0,0.0,4.2,9.9,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.0,0.0,2
AaF23,3,1,B,C,8.924,17.992,6.549,8.586,42.050,0.0,0.0,0.0,0.0,0.0,21.5,22.2,0.0,10.0,12.1,0.0,6.6,0.0,4.3,0.0,3.5,2.3,3.0,0.0,0.0,0.0,0.0,2.0,12.5,2
AaF24,3,2,A,E,3.588,6.328,1.757,1.529,13.202,0.0,22.1,0.0,0.0,57.4,0.0,0.0,0.0,13.9,0.0,0.0,0.9,0.0,0.9,0.0,0.7,0.8,1.3,0.0,0.0,0.0,0.0,2.0,0.0,2
AaF25,3,2,A,C,6.129,11.565,3.749,3.895,25.338,0.0,0.0,0.0,0.0,0.0,15.3,11.4,0.0,5.1,12.0,2.8,13.2,0.0,3.8,0.0,4.7,5.5,6.9,0.0,0.0,0.0,0.0,4.0,15.2,2
AaF26,3,2,B,E,6.430,11.451,3.024,2.859,23.765,0.0,2.4,0.0,0.0,44.4,0.0,9.0,0.0,8.0,7.2,0.0,10.7,0.0,4.1,0.0,2.3,2.3,1.7,0.0,0.0,1.8,6.1,0.0,0.0,2
AaF27,3,2,B,C,7.569,16.204,5.712,6.698,36.182,0.0,0.0,0.0,0.0,0.0,13.3,14.9,0.0,10.8,11.6,0.0,14.8,0.0,8.3,0.0,3.8,2.7,3.5,1.2,0.0,2.1,2.4,0.0,10.7,2
AaF28,4,1,A,E,8.774,14.138,3.416,2.418,28.746,0.0,14.6,0.0,0.0,38.4,0.0,14.2,0.0,5.6,0.0,3.7,5.3,0.0,1.1,0.0,0.8,1.0,4.7,5.3,2.2,0.0,0.0,3.0,0.0,2
AaF29,4,1,A,C,19.029,28.497,7.072,3.546,58.145,0.0,0.0,0.0,0.0,0.0,9.3,9.7,0.0,5.2,9.2,5.7,15.8,0.0,4.5,0.0,0.0,0.3,4.2,7.8,3.0,3.2,2.5,0.0,19.6,2
AaF30,4,1,B,E,15.772,27.885,6.241,6.343,56.241,0.0,7.3,0.0,0.0,54.5,0.0,10.7,0.0,5.8,0.0,1.7,5.6,0.0,0.0,0.0,0.0,1.5,6.0,3.1,0.0,0.0,0.0,3.7,0.0,2
AaF31,4,1,B,C,16.809,28.996,6.669,3.449,55.923,0.0,0.0,0.0,0.0,0.0,21.4,8.5,0.0,8.6,3.5,2.8,4.4,0.0,0.0,0.0,3.2,2.1,9.8,10.6,3.1,0.0,0.0,5.4,16.4,2
AaF32,4,2,A,E,6.674,13.348,3.050,3.046,26.119,0.0,18.3,1.8,4.1,49.9,0.0,4.1,0.0,3.7,0.0,0.8,3.3,0.0,0.0,0.0,1.0,0.0,4.7,2.3,1.4,0.0,0.0,4.6,0.0,2
AaF33,4,2,A,C,10.892,21.914,5.180,2.899,40.885,0.0,0.0,0.0,0.0,0.0,18.6,8.7,0.0,9.9,1.5,2.2,10.9,0.0,0.0,0.0,9.2,2.7,14.4,2.3,0.0,0.0,0.0,3.5,16.1,2
AaF34,4,2,B,E,10.616,19.241,4.396,4.848,39.102,0.0,5.7,0.0,0.0,45.3,0.0,7.1,0.0,3.9,0.0,2.3,8.2,0.0,0.0,0.0,2.9,3.3,10.2,3.6,0.0,0.0,0.0,7.4,0.0,2
AaF35,4,2,B,C,17.532,26.815,6.207,4.190,54.745,0.0,0.0,0.0,0.0,0.0,16.9,11.9,0.0,0.0,0.0,0.0,14.1,0.0,2.9,0.0,1.1,0.9,8.0,14.2,0.0,9.8,0.0,0.0,20.3,2
