observation_name,observation_sum,E1aJ0_C,E1aJ16_A,E1aJ40_B,E1aJ40_E,E1aJ5_B,E1bJ16_C,E1bJ40_C,E1bJ5_C,E1cJ16_D,E1cJ40_D,E1cJ5_D,E4aJ16_C,E4aJ40_C,E4aJ5_C,E5aJ16_A,E5aJ40_C,E5aJ5_D,E6aJ16_A,E6aJ40_B,E6aJ40_E,E6aJ48_A,E6aJ54_D,E6aJ5_B,E6bJ16_D,E6bJ40_D,E6bJ54_D,E7aJ16_A,E7aJ26_A,E7aJ40_B,E7aJ40_D,E7aJ40_E,E7aJ48_B,E7aJ48_E,E7aJ54_D,E7aJ5_B,E7aJ61_A,E7aJ69_B,E7aJ69_E,E7aJ96_D,E7bJ26_D,E7bJ40_D,E7bJ54_D,E7bJ69_D,E7bJ69_E,E8aJ0_C,E8aJ111_C,E8aJ16_A,E8aJ40_C,E8aJ5_C,E8aJ69_B,E8aJ69_E,E8aJ82_D,E8aJ96_B,E8aJ96_E,E8bJ111_C,E8bJ16_B,E8bJ40_C,E8bJ5_C,E8bJ69_B,E8bJ69_E,E8bJ82_C,E8bJ96_B,E8bJ96_E,E8cJ111_C,E8cJ16_B,E8cJ40_C,E8cJ5_C,E8cJ69_B,E8cJ69_E,E8cJ82_D,E8cJ96_B,E8cJ96_E,E9aJ16_A,E9aJ40_C,E9aJ5_C
Cluster_12,10243,103,70,4,292,9,112,113,91,33,86,8,93,115,59,59,107,20,67,5,412,56,116,4,52,43,51,34,78,4,70,259,2,379,45,9,63,6,395,673,19,22,93,56,243,12,67,97,6,44,11,529,46,31,906,131,8,2,12,11,486,25,33,1035,265,5,30,21,12,510,105,32,1008,45,71,17
Cluster_29,3113,2,53,2,286,17,1,2,0,5,9,7,3,1,1,69,3,7,52,3,272,38,23,1,7,3,15,10,7,8,16,123,1,132,1,4,23,7,1007,12,1,2,5,3,105,0,4,21,0,2,1,146,0,5,170,0,2,0,0,4,81,1,1,176,0,1,0,0,5,99,0,3,40,2,0,0
Cluster_77,694,1,3,0,43,0,4,4,4,4,10,1,7,12,4,5,9,2,3,1,41,5,25,0,3,10,6,3,2,0,16,26,0,33,8,0,1,0,72,13,7,2,16,3,24,1,8,5,0,2,0,14,0,0,13,6,0,0,2,0,33,2,0,133,3,0,0,0,0,10,2,2,21,0,4,0
Cluster_86,988,4,3,0,176,0,17,42,10,13,31,1,24,35,13,5,55,2,5,0,124,5,52,0,11,13,18,2,2,0,16,28,1,73,4,0,8,0,59,3,11,2,10,11,48,0,0,4,0,8,0,7,1,0,0,0,0,0,1,0,14,2,0,6,0,0,2,2,0,2,0,1,0,1,0,0
Cluster_97,458,7,2,0,21,1,8,10,3,3,4,1,7,11,5,1,5,0,2,1,18,3,12,0,9,5,4,0,1,2,8,12,0,27,1,1,3,0,57,9,1,2,5,10,47,0,1,1,0,4,0,15,0,1,9,3,0,0,0,2,26,2,0,29,3,0,1,0,0,17,1,0,13,0,1,0
Cluster_106,376,0,5,0,25,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,31,10,0,0,0,0,0,5,11,0,1,13,0,35,0,0,10,0,45,0,0,0,0,0,31,0,0,11,0,0,0,21,0,0,16,0,0,0,0,0,32,0,0,5,0,0,0,0,0,23,0,0,30,5,0,0
Cluster_115,298,0,1,0,69,0,0,0,0,1,5,0,1,3,0,1,2,0,0,0,45,0,10,0,4,3,4,2,1,0,6,22,0,38,2,0,3,0,28,0,0,1,4,1,34,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_156,164,4,1,0,5,0,0,2,2,0,1,0,1,3,2,2,1,0,2,0,10,0,3,0,2,4,0,0,1,0,3,11,0,12,3,0,1,0,13,7,1,0,4,6,18,0,1,0,0,1,0,2,0,0,6,0,0,0,1,0,13,0,0,7,0,1,1,0,0,3,0,0,1,0,1,1
Cluster_200,110,1,0,0,9,0,2,3,0,2,1,0,1,6,1,1,4,0,0,0,4,1,8,0,2,3,3,0,1,0,4,1,0,3,0,0,3,0,10,2,1,0,3,6,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Cluster_221,84,0,0,0,4,0,0,3,0,0,3,0,1,2,0,0,0,0,1,0,2,0,6,0,1,0,4,0,0,0,1,0,0,2,0,0,0,0,14,1,0,0,1,7,9,0,1,0,0,1,0,1,0,0,7,0,0,0,0,0,1,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0
