sample_name/data extraction,analysis_name,sequencing_run_date,sequencing_run,number_of_days,initial_phenol_concentration
E1aJ0,E1aJ0_C,01/07/2016,C,0,0
E1aJ5,E1aJ5_B,14/04/2016,B,5,0
E1aJ16,E1aJ16_A,09/04/2015,A,16,0
E1aJ40,E1aJ40_B,14/04/2016,B,40,0
E1aJ40,E1aJ40_E,21/09/2017,E,40,0
E1bJ5,E1bJ5_C,01/07/2016,C,5,0
E1bJ16,E1bJ16_C,01/07/2016,C,16,0
E1bJ40,E1bJ40_C,01/07/2016,C,40,0
E1cJ5,E1cJ5_D,14/11/2016,D,5,0
E1cJ16,E1cJ16_D,14/11/2016,D,16,0
E1cJ40,E1cJ40_D,14/11/2016,D,40,0
E4aJ5,E4aJ5_C,01/07/2016,C,5,0.05
E4aJ16,E4aJ16_C,01/07/2016,C,16,0.05
E4aJ40,E4aJ40_C,01/07/2016,C,40,0.05
E5aJ5,E5aJ5_D,14/11/2016,D,5,0.1
E5aJ16,E5aJ16_A,09/04/2015,A,16,0.1
E5aJ40,E5aJ40_C,01/07/2016,C,40,0.1
E6aJ5,E6aJ5_B,14/04/2016,B,5,0.5
E6aJ16,E6aJ16_A,09/04/2015,A,16,0.5
E6aJ40,E6aJ40_B,14/04/2016,B,40,0.5
E6aJ40,E6aJ40_E,21/09/2017,E,40,0.5
E6aJ48,E6aJ48_A,09/04/2015,A,48,0.5
E6aJ54,E6aJ54_D,14/11/2016,D,54,0.5
E6bJ16,E6bJ16_D,14/11/2016,D,16,0.5
E6bJ40,E6bJ40_D,14/11/2016,D,40,0.5
E6bJ54,E6bJ54_D,14/11/2016,D,54,0.5
E7aJ5,E7aJ5_B,14/04/2016,B,5,1
E7aJ16,E7aJ16_A,09/04/2015,A,16,1
E7aJ26,E7aJ26_A,09/04/2015,A,26,1
E7aJ40,E7aJ40_B,14/04/2016,B,40,1
E7aJ40,E7aJ40_D,14/11/2016,D,40,1
E7aJ40,E7aJ40_E,21/09/2017,E,40,1
E7aJ48,E7aJ48_B,14/04/2016,B,48,1
E7aJ48,E7aJ48_E,21/09/2017,E,48,1
E7aJ54,E7aJ54_D,14/11/2016,D,54,1
E7aJ61,E7aJ61_A,09/04/2015,A,61,1
E7aJ69,E7aJ69_B,14/04/2016,B,69,1
E7aJ69,E7aJ69_E,21/09/2017,E,69,1
E7aJ96,E7aJ96_D,14/11/2016,D,96,1
E7bJ26,E7bJ26_D,14/11/2016,D,26,1
E7bJ40,E7bJ40_D,14/11/2016,D,40,1
E7bJ54,E7bJ54_D,14/11/2016,D,54,1
E7bJ69,E7bJ69_D,14/11/2016,D,69,1
E7bJ69,E7bJ69_E,21/09/2017,E,69,1
E8aJ0,E8aJ0_C,01/07/2016,C,0,1.5
E8aJ5,E8aJ5_C,01/07/2016,C,5,1.5
E8aJ16,E8aJ16_A,09/04/2015,A,16,1.5
E8aJ40,E8aJ40_C,01/07/2016,C,40,1.5
E8aJ69,E8aJ69_B,14/04/2016,B,69,1.5
E8aJ69,E8aJ69_E,21/09/2017,E,69,1.5
E8aJ82,E8aJ82_D,14/11/2016,D,82,1.5
E8aJ96,E8aJ96_B,14/04/2016,B,96,1.5
E8aJ96,E8aJ96_E,21/09/2017,E,96,1.5
E8aJ111,E8aJ111_C,01/07/2016,C,111,1.5
E8bJ5,E8bJ5_C,01/07/2016,C,5,1.5
E8bJ16,E8bJ16_B,14/04/2016,B,16,1.5
E8bJ40,E8bJ40_C,01/07/2016,C,40,1.5
E8bJ69,E8bJ69_B,14/04/2016,B,69,1.5
E8bJ69,E8bJ69_E,21/09/2017,E,69,1.5
E8bJ82,E8bJ82_C,01/07/2016,C,82,1.5
E8bJ96,E8bJ96_B,14/04/2016,B,96,1.5
E8bJ96,E8bJ96_E,21/09/2017,E,96,1.5
E8bJ111,E8bJ111_C,01/07/2016,C,111,1.5
E8cJ5,E8cJ5_C,01/07/2016,C,5,1.5
E8cJ16,E8cJ16_B,14/04/2016,B,16,1.5
E8cJ40,E8cJ40_C,01/07/2016,C,40,1.5
E8cJ69,E8cJ69_B,14/04/2016,B,69,1.5
E8cJ69,E8cJ69_E,21/09/2017,E,69,1.5
E8cJ82,E8cJ82_D,14/11/2016,D,82,1.5
E8cJ96,E8cJ96_B,14/04/2016,B,96,1.5
E8cJ96,E8cJ96_E,21/09/2017,E,96,1.5
E8cJ111,E8cJ111_C,01/07/2016,C,111,1.5
E9aJ5,E9aJ5_C,01/07/2016,C,5,2
E9aJ16,E9aJ16_A,09/04/2015,A,16,2
E9aJ40,E9aJ40_C,01/07/2016,C,40,2
